production_budget,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
425000000,2009.0,1.78,178.0,4834,237000000.0,7.9
306000000,,,,143,,7.1
300000000,2007.0,2.35,169.0,48350,300000000.0,7.1
300000000,2015.0,2.35,148.0,11700,245000000.0,6.8
275000000,2012.0,2.35,164.0,106759,250000000.0,8.5
275000000,2013.0,2.35,150.0,45757,215000000.0,6.5
275000000,2012.0,2.35,132.0,1873,263700000.0,6.6
260000000,2010.0,1.85,100.0,2036,260000000.0,7.8
258000000,2007.0,2.35,156.0,46055,258000000.0,6.2
258000000,2007.0,2.35,156.0,46055,258000000.0,6.2
250000000,2015.0,2.35,141.0,92000,250000000.0,7.5
250000000,2016.0,2.35,147.0,64798,250000000.0,8.2
250000000,2016.0,2.35,183.0,24450,250000000.0,6.9
250000000,2012.0,2.35,182.0,9152,180000000.0,7.9
250000000,2009.0,2.35,153.0,58753,250000000.0,7.5
250000000,2013.0,2.35,186.0,9152,225000000.0,7.9
250000000,2014.0,2.35,164.0,9152,250000000.0,7.5
250000000,2011.0,2.35,136.0,54083,250000000.0,6.7
232000000,2006.0,2.35,169.0,29991,209000000.0,6.1
230000000,2008.0,2.35,106.0,2023,200000000.0,6.7
225000000,2006.0,2.35,151.0,48486,225000000.0,7.3
225000000,2013.0,2.35,143.0,20495,225000000.0,7.2
225000000,2008.0,2.35,150.0,22697,225000000.0,6.6
220000000,2012.0,2.35,153.0,28489,230000000.0,7.0
215000000,2015.0,2.0,124.0,8458,150000000.0,7.0
210000000,2009.0,2.35,150.0,3218,200000000.0,6.0
210000000,2014.0,2.35,165.0,3988,210000000.0,5.7
210000000,2006.0,2.35,104.0,21714,210000000.0,6.8
210000000,2010.0,2.35,156.0,3244,200000000.0,6.7
209000000,2012.0,2.35,131.0,26679,209000000.0,5.9
200000000,1997.0,2.35,194.0,45223,200000000.0,7.7
200000000,2010.0,1.85,103.0,19085,200000000.0,8.3
200000000,2013.0,2.35,195.0,30426,200000000.0,7.2
200000000,2004.0,2.35,135.0,43388,200000000.0,7.3
